Epoch,Train_Loss_LatL1,Val_Loss_LatL1
1,0.13175714440408826,0.10606815601410495
2,0.09718993850868408,0.0902233936012929
3,0.08661100297671086,0.0831641422669443
4,0.08111070365815212,0.07901466470457909
5,0.07782562969902404,0.07591050942038649
6,0.07581896699457179,0.0747559949339924
7,0.07462715156687119,0.0731267494952276
8,0.0739167874123776,0.07293793038299605
9,0.07354723392562892,0.07353124744566526
10,0.07332173603273885,0.07358678742127271
11,0.07314706972470805,0.07249745328345839
12,0.07297333477714904,0.0722645438890275
13,0.07279004821052952,0.07233463124906789
14,0.07260287580105279,0.07457184196393746
15,0.07232230863315689,0.07181860521851482
16,0.07201116697066272,0.07235605741212371
17,0.07172987541128878,0.07247943290004646
18,0.07141418560515747,0.07169354364560389
19,0.07110223158936292,0.07123068250748554
20,0.0707670401297977,0.07066377704189038
21,0.07048777686656228,0.06886869590187913
22,0.07015490345972682,0.07115429893639294
23,0.06987016586660733,0.06861036639556661
24,0.06955222009844439,0.0709262965534227
25,0.06924142510901471,0.06921069667552886
26,0.06895383134378179,0.06859094560934058
27,0.06866466461419655,0.06813928769373509
28,0.06836590487175208,0.06926003566747545
29,0.06804417674522878,0.06859822770397393
30,0.06774201753706235,0.06736969352643746
31,0.06741452014983892,0.06737882415278543
32,0.06709516699251865,0.06727509351553895
33,0.06677618637938708,0.06610899489706658
34,0.06644154338765525,0.06699277230821517
35,0.06609777306330006,0.06758700243351919
36,0.06575686408528315,0.06521027238708586
37,0.06539706918658868,0.06556635561143424
38,0.06503233807739382,0.06546401417377937
39,0.06466842966994903,0.06452651731068167
40,0.06428588370461916,0.06521698311737105
41,0.0639004401733771,0.06368545218536333
42,0.06354317547063093,0.06370995923461018
43,0.06316016899929001,0.06339107070900445
44,0.06277531015545523,0.06225247600180112
45,0.06241466668388649,0.062107674350822546
46,0.062038640241859,0.061772882850859835
47,0.06167847279897582,0.061309366324224485
48,0.06131899870222162,0.061091362817346964
49,0.06098538020700873,0.06087124750302576
50,0.06066497150782045,0.06085601672201955
51,0.06035499922014083,0.06033480920105429
52,0.06007900089278145,0.06002828343149149
53,0.05981354763565245,0.05987164557592809
54,0.05958667339895409,0.0595111034690196
55,0.059375026905969186,0.05943596345562592
56,0.059192035270165734,0.05920580445232195
57,0.059032565660499324,0.058972945472392395
58,0.058901616378168445,0.05885676805493415
59,0.05880166070264815,0.058759176783624724
60,0.05873173622811758,0.058685543603659025
