Epoch,Train_Total_Loss,Train_CRPS,Train_KL,Val_Total_Loss,Val_CRPS,Val_KL
1,0.17460610075051924,0.162063945305877,125.42157299084435,0.1206884846288202,0.1181682413019973,25.202528450807637
2,0.09534635184861394,0.09227526313209987,30.71085272550017,0.07852876413936306,0.07518098918001732,33.47775273035977
3,0.07188111800345456,0.06873956669302624,31.415453331637842,0.06711163289746525,0.06420643004026708,29.052046049008812
4,0.06459373973433791,0.061913527485151214,26.802085982536454,0.06254467284976999,0.060067141808777307,24.775341868575623
5,0.06116472401429775,0.05885953440751897,23.051829009833842,0.05992910690419649,0.05776764677834756,21.61460771154552
6,0.059135863885268314,0.057109176930673,20.266893968294337,0.05828962732166621,0.056368593952554266,19.21035242290749
7,0.057776677806565785,0.055965502490913234,18.11176325661241,0.05715190086420762,0.05542821225965951,17.236854407580765
8,0.05680647442889804,0.05516145382140927,16.45019100754493,0.056357239486537494,0.05477132251084114,15.859168502202643
9,0.056075025308168554,0.054557337199845284,15.176868747880638,0.05570385634636564,0.05423160726628465,14.722509980726873
10,0.05550108994011476,0.05408715021412184,14.139401068158698,0.05518776869808875,0.053802792721382844,13.849752776248165
11,0.05504231729439535,0.053712417328305145,13.298999660902,0.054735320955296096,0.053435360632628943,12.999609948604993
12,0.05466421598820575,0.053406077346465436,12.581423257884028,0.054447342120603315,0.05320703895781709,12.403103776615271
13,0.05433930571340391,0.05314173137345286,11.975742571634452,0.054147168578205306,0.052972723558960856,11.744475466914464
14,0.05406558921920036,0.052922370111226795,11.432192321549678,0.053894233423532716,0.052768343170658955,11.258938199798092
15,0.05382771458048544,0.05272951122864742,10.98197747117667,0.05366953599120377,0.052584319037662905,10.852165502248532
16,0.05362169246990505,0.05256218197144424,10.595111028102746,0.05346784997791621,0.052423614412327346,10.442375642437591
17,0.05343914064321327,0.05241410600488248,10.2503563178196,0.053287556518016935,0.05227019748323639,10.173540605497431
18,0.05328006427463494,0.052285573085553365,9.944945585367922,0.053140794303098614,0.05215414890283705,9.86645471962188
19,0.05314068618003454,0.05217194193377257,9.687477481773483,0.05301581675435653,0.05205391927262585,9.618958505414831
20,0.05302020952878624,0.05207401972861563,9.461856773482536,0.05292141279985201,0.05197558073920475,9.458353409508076
21,0.05291404995767898,0.05198723762954603,9.268135119955918,0.0528252331345792,0.05190218842852308,9.230471618024962
22,0.05282140546186207,0.051912087187923873,9.09313074877077,0.05272637029751457,0.05181918375292539,9.071854063417767
23,0.05274159821788106,0.05184690230334965,8.94700534079349,0.05264124261125069,0.05174720864989159,8.940339344713657
